Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
The Kaleidoscope Classic,The Kaleidoscope Classic - Award-Winning Brain Teaser Puzzle by Dr Wood | 18 Pieces,"2,499",-,"Thursday, 14 November",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDE3MTYxNjc1MTAwNDYzOjE3MzA5NjE3OTc6c3BfYXRmOjMwMDM1NDQ5NjAxNjYzMjo6MDo6&url=%2FKaleidoscope-Classic-Award-Winning-Challenges-Problem-Solving%2Fdp%2FB0DFW91YHF%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.SAbxKDgs7jNny1CqFCe31f7ArTYU0IWrOI3LzyrUj4skDtgKeUWFK8EwcWjEV7hcUUNw5_wTGATPiMOkj5htU4TLJRYG526RF3mBBxzzIjDfrq06nbsHrV6Y8S_PxQc8_p0kktSrnE77_ZOVGHd0BJT7gW54-sW2JpfJu9UKKc6MDzBpqanmf52zzKyGDiruSVBmWBBSP9hfcvxvfsW9jWRBr090Qr1NFAf88pRGpqi1B19pnPhDp9ybzIBTArAq408pGGVc5jowCOrK7KvU1lbrgOe8C0Q3uSCYNa6VpV0.NBfSBHH8hhvclJ3LR1iPfJecWF3e07AANg-pvsPEb_A%26dib_tag%3Dse%26keywords%3DTOYS%26qid%3D1730961797%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Skillmatics,Skillmatics Art & Craft Christmas Kit - Snip,569,-,"Wednesday, 13 November",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDE3MTYxNjc1MTAwNDYzOjE3MzA5NjE3OTc6c3BfYXRmOjMwMDM3Mjc5OTcwNzIzMjo6MDo6&url=%2FSkillmatics-Art-Craft-Christmas-Kit%2Fdp%2FB0DDTL7NL6%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.SAbxKDgs7jNny1CqFCe31f7ArTYU0IWrOI3LzyrUj4skDtgKeUWFK8EwcWjEV7hcUUNw5_wTGATPiMOkj5htU4TLJRYG526RF3mBBxzzIjDfrq06nbsHrV6Y8S_PxQc8_p0kktSrnE77_ZOVGHd0BJT7gW54-sW2JpfJu9UKKc6MDzBpqanmf52zzKyGDiruSVBmWBBSP9hfcvxvfsW9jWRBr090Qr1NFAf88pRGpqi1B19pnPhDp9ybzIBTArAq408pGGVc5jowCOrK7KvU1lbrgOe8C0Q3uSCYNa6VpV0.NBfSBHH8hhvclJ3LR1iPfJecWF3e07AANg-pvsPEb_A%26dib_tag%3Dse%26keywords%3DTOYS%26qid%3D1730961797%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Butterfly EduFields,Butterfly EduFields 100+ Science Experiments Kit for Kids Ages 4 5 6 7 8 Years Old Boys Girls | Birthday Gift Ideas for Boys and Girls Ages 4 5 6 7 8 Years| Fun STEM Learning & Educational Toys,659,-,"Monday, 11 November",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDE3MTYxNjc1MTAwNDYzOjE3MzA5NjE3OTc6c3BfYXRmOjMwMDI0NzE4MDM4NzEzMjo6MDo6&url=%2FButterfly-EduFields-Experiments-Birthday-Educational%2Fdp%2FB0D45MTX64%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.SAbxKDgs7jNny1CqFCe31f7ArTYU0IWrOI3LzyrUj4skDtgKeUWFK8EwcWjEV7hcUUNw5_wTGATPiMOkj5htU4TLJRYG526RF3mBBxzzIjDfrq06nbsHrV6Y8S_PxQc8_p0kktSrnE77_ZOVGHd0BJT7gW54-sW2JpfJu9UKKc6MDzBpqanmf52zzKyGDiruSVBmWBBSP9hfcvxvfsW9jWRBr090Qr1NFAf88pRGpqi1B19pnPhDp9ybzIBTArAq408pGGVc5jowCOrK7KvU1lbrgOe8C0Q3uSCYNa6VpV0.NBfSBHH8hhvclJ3LR1iPfJecWF3e07AANg-pvsPEb_A%26dib_tag%3Dse%26keywords%3DTOYS%26qid%3D1730961797%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
-,Breatoi! L*O*L. Surprise! Pets Series 3 Wave 2,"1,499",-,"Sunday, 10 November",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDE3MTYxNjc1MTAwNDYzOjE3MzA5NjE3OTc6c3BfYXRmOjMwMDMzNzA0MDUxNDgzMjo6MDo6&url=%2FBreatoi-L-Surprise-Pets-Wave%2Fdp%2FB0C7N2B9B6%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.SAbxKDgs7jNny1CqFCe31f7ArTYU0IWrOI3LzyrUj4skDtgKeUWFK8EwcWjEV7hcUUNw5_wTGATPiMOkj5htU4TLJRYG526RF3mBBxzzIjDfrq06nbsHrV6Y8S_PxQc8_p0kktSrnE77_ZOVGHd0BJT7gW54-sW2JpfJu9UKKc6MDzBpqanmf52zzKyGDiruSVBmWBBSP9hfcvxvfsW9jWRBr090Qr1NFAf88pRGpqi1B19pnPhDp9ybzIBTArAq408pGGVc5jowCOrK7KvU1lbrgOe8C0Q3uSCYNa6VpV0.NBfSBHH8hhvclJ3LR1iPfJecWF3e07AANg-pvsPEb_A%26dib_tag%3Dse%26keywords%3DTOYS%26qid%3D1730961797%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
-,Storio Blaze Storm Hot Fire Soft Bullet Gun Toy With 10 Safe Soft Foam Bullets,187,-,"Sunday, 10 November",In stock,https://www.amazon.in/Storio-Blaze-Blaster-Shooting-Bullets/dp/B07Q5N5BTT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SAbxKDgs7jNny1CqFCe31f7ArTYU0IWrOI3LzyrUj4skDtgKeUWFK8EwcWjEV7hcUUNw5_wTGATPiMOkj5htU4TLJRYG526RF3mBBxzzIjDfrq06nbsHrV6Y8S_PxQc8_p0kktSrnE77_ZOVGHd0BJT7gW54-sW2JpfJu9UKKc6MDzBpqanmf52zzKyGDiruSVBmWBBSP9hfcvxvfsW9jWRBr090Qr1NFAf88pRGpqi1B19pnPhDp9ybzIBTArAq408pGGVc5jowCOrK7KvU1lbrgOe8C0Q3uSCYNa6VpV0.NBfSBHH8hhvclJ3LR1iPfJecWF3e07AANg-pvsPEb_A&dib_tag=se&keywords=TOYS&qid=1730961797&sr=8-5
-,WireScorts Plastic Geometry Toys for 1 2 3 Year Old Boy Girl,175,-,"Monday, 11 November",In stock,https://www.amazon.in/WireScorts-Geometric-Preschool-Educational-Multicolor/dp/B0CFGB45S2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SAbxKDgs7jNny1CqFCe31f7ArTYU0IWrOI3LzyrUj4skDtgKeUWFK8EwcWjEV7hcUUNw5_wTGATPiMOkj5htU4TLJRYG526RF3mBBxzzIjDfrq06nbsHrV6Y8S_PxQc8_p0kktSrnE77_ZOVGHd0BJT7gW54-sW2JpfJu9UKKc6MDzBpqanmf52zzKyGDiruSVBmWBBSP9hfcvxvfsW9jWRBr090Qr1NFAf88pRGpqi1B19pnPhDp9ybzIBTArAq408pGGVc5jowCOrK7KvU1lbrgOe8C0Q3uSCYNa6VpV0.NBfSBHH8hhvclJ3LR1iPfJecWF3e07AANg-pvsPEb_A&dib_tag=se&keywords=TOYS&qid=1730961797&sr=8-6
-,Storio Toys Rechargeable Educational Learning Talking Flash Cards for 2 Year Old Kids Boys Girls Baby Montessori Toys,324,-,"Saturday, 9 November",In stock,https://www.amazon.in/Storio-Dual-Function-Water-Shoot/dp/B08D8HVTBN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SAbxKDgs7jNny1CqFCe31f7ArTYU0IWrOI3LzyrUj4skDtgKeUWFK8EwcWjEV7hcUUNw5_wTGATPiMOkj5htU4TLJRYG526RF3mBBxzzIjDfrq06nbsHrV6Y8S_PxQc8_p0kktSrnE77_ZOVGHd0BJT7gW54-sW2JpfJu9UKKc6MDzBpqanmf52zzKyGDiruSVBmWBBSP9hfcvxvfsW9jWRBr090Qr1NFAf88pRGpqi1B19pnPhDp9ybzIBTArAq408pGGVc5jowCOrK7KvU1lbrgOe8C0Q3uSCYNa6VpV0.NBfSBHH8hhvclJ3LR1iPfJecWF3e07AANg-pvsPEb_A&dib_tag=se&keywords=TOYS&qid=1730961797&sr=8-7
-,control future Baby Girl Toys Tummy Time: Pink Crawling Crab Babies Montessori Toy Learning 36 Months 3 Year Old Birthday Infant Girls Valentines Day Gifts Stuff 0 1 2 Essentials,599,-,"Sunday, 10 November",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzMzMjY3MzU2NTcxNDM1OjE3MzA5NjE3OTc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM4MjU1ODAwMzczMjo6MDo6&url=%2FBaby-Girl-Toys-Tummy-Time%2Fdp%2FB0BN8CBTNB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26cv_ct_cx%3DTOYS%26dib%3DeyJ2IjoiMSJ9.EwPDstlLzTf8S9jmj4Ay1HW31YHfC0wNcm1wzg5WSst8OBe0KocQQpDhR5pS0FKU29bc-FnfVrI2NksWPUT2Cw.wZymFzgPzP08w6vRCygxJs6lJ839DN7Nd9mZvDEegG0%26dib_tag%3Dse%26keywords%3DTOYS%26pd_rd_i%3DB0BN8CBTNB%26pd_rd_r%3D747a0978-9cd8-4761-91b9-eca1998b7738%26pd_rd_w%3DrnArH%26pd_rd_wg%3D0Aah7%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3D2Z58QP9J1T0RT83ND3EG%26qid%3D1730961797%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
-,Panda's Box Mantra Chanting Baby Krishna (28 CM) | Musical Soft Plush Toy | Best Gift for Infants,988,-,"Monday, 11 November",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzMzMjY3MzU2NTcxNDM1OjE3MzA5NjE3OTc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1NDIzODY0MTgzMjo6MTo6&url=%2FPandas-Box-Chanting-Musical-Krishna%2Fdp%2FB09VDCSCWF%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26cv_ct_cx%3DTOYS%26dib%3DeyJ2IjoiMSJ9.EwPDstlLzTf8S9jmj4Ay1HW31YHfC0wNcm1wzg5WSst8OBe0KocQQpDhR5pS0FKU29bc-FnfVrI2NksWPUT2Cw.wZymFzgPzP08w6vRCygxJs6lJ839DN7Nd9mZvDEegG0%26dib_tag%3Dse%26keywords%3DTOYS%26pd_rd_i%3DB09VDCSCWF%26pd_rd_r%3D747a0978-9cd8-4761-91b9-eca1998b7738%26pd_rd_w%3DrnArH%26pd_rd_wg%3D0Aah7%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3D2Z58QP9J1T0RT83ND3EG%26qid%3D1730961797%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
-,TRU TOYS Geometric Building Blocks for Kids,399,-,"Wednesday, 13 November",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzMzMjY3MzU2NTcxNDM1OjE3MzA5NjE3OTc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA3MjA2NDYwNjkzMjo6Mjo6&url=%2FTRU-TOYS-Geometric-Building-Montessori%2Fdp%2FB0CKL2B524%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26cv_ct_cx%3DTOYS%26dib%3DeyJ2IjoiMSJ9.EwPDstlLzTf8S9jmj4Ay1HW31YHfC0wNcm1wzg5WSst8OBe0KocQQpDhR5pS0FKU29bc-FnfVrI2NksWPUT2Cw.wZymFzgPzP08w6vRCygxJs6lJ839DN7Nd9mZvDEegG0%26dib_tag%3Dse%26keywords%3DTOYS%26pd_rd_i%3DB0CKL2B524%26pd_rd_r%3D747a0978-9cd8-4761-91b9-eca1998b7738%26pd_rd_w%3DrnArH%26pd_rd_wg%3D0Aah7%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3D2Z58QP9J1T0RT83ND3EG%26qid%3D1730961797%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
